ID,Area,Perimeter,Hausdorf,Frechet,Stress
172.jpg,3227.610931,802.2813059,49.46741218,231.7027252,N
173.jpg,3841.401191,887.7615331,7.222644861,245.4623402,N
174.jpg,3689.277776,882.7838321,56.44795064,250.065757,N
175.jpg,3981.044154,975.6538892,34.97644129,109.6385654,N
176.jpg,4183.768464,951.7543947,13.85613504,229.485235,N
177.jpg,4011.642397,1005.896531,34.09906103,109.6385654,N
178.jpg,4215.806636,975.7300096,51.98712936,65.85623361,N
179.jpg,4088.465631,961.1168731,29.97348189,50.23935771,N
18.jpg,7018.418256,1490.167729,0.859657505,6.991987035,N
180.jpg,5615.615474,1196.07019,28.19913146,69.75457262,N
181.jpg,5148.619033,1079.893566,8.807032697,109.1666273,N
182.jpg,2749.03066,731.2863572,67.96347743,294.6547277,N
184.jpg,2930.215976,770.6000664,36.08582309,109.6385654,N
185.jpg,4411.921549,956.4965969,87.49804479,220.0041131,N
186.jpg,4482.320868,1011.82755,82.92265496,96.43315997,N
187.jpg,2947.03066,760.0214208,54.97310914,174.1842935,N
188.jpg,6884.379917,1442.38895,15.98067941,215.0734847,N
189.jpg,5837.079742,1256.406197,79.11506686,191.1170342,N
19.jpg,2708.053723,713.4528786,13.98803684,106.7806166,N
190.jpg,4420.402274,1027.126979,12.92561522,109.6385654,N
191.jpg,2649.164261,709.9137752,33.1062733,115.35814,N
192.jpg,3100.317451,797.1929917,11.15562114,112.272281,N
193.jpg,2832.620711,713.0508565,57.96491313,280.3000999,N
194.jpg,3697.760656,916.3473206,66.96447612,71.80266052,N
195.jpg,2771.106524,719.3868631,80.94742388,59.40471901,N
197.jpg,2506.391159,686.8843381,49.99040167,109.6385654,N
198.jpg,3436.53344,838.4894565,34.09906103,116.7533558,N
199.jpg,3723.95726,994.9574918,73.96164524,132.1005866,N
2.jpg,4011.096766,948.874234,48.00948269,48.15834296,N
20.jpg,2093.601781,614.582823,20.42379181,165.1402363,N
200.jpg,3697.760656,916.3473206,66.96447612,71.80266052,N
201.jpg,6571.392673,1462.38895,55.97507912,109.6385654,N
202.jpg,3554.342033,985.8792843,15.89472836,52.28408672,N
203.jpg,3879.035343,1043.77878,7.275020314,109.6385654,N
204.jpg,4274.154869,1105.97979,20.42379181,109.6385654,N
205.jpg,4262.079228,1123.050858,8.564726008,109.6385654,N
206.jpg,8316.777474,1672.413337,66.96608223,28.10923782,N
207.jpg,6168.726371,1380.739237,71.95066658,46.24538876,N
208.jpg,4310.346567,1155.376758,22.35162634,45.21911055,N
209.jpg,5348.859934,1274.739239,76.96600248,109.6385654,N
21.jpg,2295.063959,639.8965303,26.23712396,235.6389067,N
210.jpg,5504.339027,1301.158504,15.62814894,60.69022047,N
211.jpg,5257.926327,1267.619401,33.1062733,109.6385654,N
212.jpg,8554.693589,1686.11896,56.96108199,109.6385654,N
213.jpg,3967.146383,1056.10468,47.96648214,109.6385654,N
214.jpg,4358.883303,1098.967597,8.564726008,109.6385654,N
215.jpg,4400.581552,1056.246816,66.96608223,100.9877968,N
216.jpg,5414.835958,1285.033613,7.391290399,109.6385654,N
217.jpg,3254.785847,941.8620379,36.08582309,113.2383255,N
218.jpg,3532.481085,977.2934979,73.96164524,132.1005866,N
219.jpg,4519.418789,1150.06305,20.40433283,109.6385654,N
22.jpg,1847.240543,560.6833291,41.03806878,134.4482569,N
220.jpg,3464.766172,928.22957,28.19913146,109.6385654,N
222.jpg,3185.485809,804.0458047,69.96145686,172.0948052,N
223.jpg,2573.423887,719.8132699,30.72474337,57.24439991,N
224.jpg,4520.483132,1076.281306,82.2507244,44.00918078,N
225.jpg,4201.667541,1017.068103,73.96164524,132.1005866,N
23.jpg,2600.508672,676.8498471,44.97409777,116.0620318,N
24.jpg,3723.312604,944.8153572,45.96330986,105.976935,N
25.jpg,2777.572957,735.3767576,29.97348189,125.7986989,N
26.jpg,4245.862267,1078.981878,75.96133354,61.12557604,N
27.jpg,2487.450666,688.5239446,20.40433283,74.42966147,N
28.jpg,2779.57791,735.9381584,20.90018981,151.2221365,N
29.jpg,3472.610733,903.2173765,37.96732457,83.59660545,N
3.jpg,3860.699695,921.6437858,65.96308104,58.11635945,N
30.jpg,1096.113794,379.4629835,43.63120801,319.2902875,N
31.jpg,1902.342331,549.5878739,85.43341903,231.6999687,N
32.jpg,1495.865355,465.5878744,19.13419846,70.83523592,N
33.jpg,1701.546618,518.5584365,81.15906758,113.613158,N
34.jpg,1569.795953,487.6295036,54.97310914,232.0090409,N
35.jpg,2799.446402,708.6072052,7.98395684,306.9568257,N
36.jpg,2071.813693,588.8599517,41.54562791,73.50876669,N
37.jpg,2178.960183,604.4163011,20.07825022,239.812217,N
38.jpg,2368.160999,639.7543927,15.42287414,91.01217998,N
4.jpg,5080.491043,1185.248903,10.29059066,109.6385654,N
40.jpg,1256.354998,398.274166,6.823327555,306.5730204,N
41.jpg,2709.082044,716.1635542,19.13419846,101.2447876,N
42.jpg,7265.322986,1494.503738,54.97830659,109.6385654,N
